time;depth;gas;tank#;warning
 0:0; 0.0 m / 0 ft; air; 1; 
 0:0; 0.0 m / 0 ft; air; 1; 
 0:4; 1.5 m / 5 ft; air; 1; 
 0:12; 2.5 m / 8 ft; air; 1; 
 0:20; 4.1 m / 14 ft; air; 1; 
 0:32; 6.0 m / 20 ft; air; 1; 
 1:4; 9.3 m / 31 ft; air; 1; 
 1:16; 10.5 m / 35 ft; air; 1; 
 1:28; 11.9 m / 39 ft; air; 1; 
 1:40; 12.0 m / 40 ft; air; 1; 
 1:48; 12.0 m / 40 ft; air; 1; 
 1:56; 11.7 m / 39 ft; air; 1; 
 2:4; 12.3 m / 41 ft; air; 1; 
 2:16; 13.0 m / 43 ft; air; 1; 
 3:8; 14.5 m / 48 ft; air; 1; 
 3:16; 14.4 m / 48 ft; air; 1; 
 3:24; 14.2 m / 47 ft; air; 1; 
 3:56; 14.8 m / 49 ft; air; 1; 
 4:8; 14.1 m / 47 ft; air; 1; 
 4:20; 14.2 m / 47 ft; air; 1; 
 4:44; 14.6 m / 48 ft; air; 1; 
 4:52; 14.1 m / 47 ft; air; 1; 
 5:20; 15.2 m / 50 ft; air; 1; 
 5:36; 14.8 m / 49 ft; air; 1; 
 5:44; 13.3 m / 44 ft; air; 1; 
 5:48; 12.9 m / 43 ft; air; 1; 
 6:0; 13.7 m / 45 ft; air; 1; 
 6:12; 14.1 m / 47 ft; air; 1; 
 6:16; 14.3 m / 47 ft; air; 1; 
 6:20; 13.9 m / 46 ft; air; 1; 
 6:32; 14.6 m / 48 ft; air; 1; 
 6:44; 14.4 m / 48 ft; air; 1; 
 7:12; 12.5 m / 41 ft; air; 1; 
 7:20; 11.6 m / 38 ft; air; 1; 
 7:32; 11.8 m / 39 ft; air; 1; 
 8:0; 10.4 m / 34 ft; air; 1; 
 8:8; 11.2 m / 37 ft; air; 1; 
 8:20; 12.3 m / 41 ft; air; 1; 
 8:24; 12.9 m / 43 ft; air; 1; 
 8:56; 10.7 m / 35 ft; air; 1; 
 9:4; 11.0 m / 36 ft; air; 1; 
 9:16; 11.4 m / 38 ft; air; 1; 
 9:24; 11.6 m / 38 ft; air; 1; 
 9:48; 12.6 m / 42 ft; air; 1; 
 10:32; 13.7 m / 45 ft; air; 1; 
 11:4; 14.0 m / 46 ft; air; 1; 
 11:36; 14.8 m / 49 ft; air; 1; 
 11:56; 14.0 m / 46 ft; air; 1; 
 12:4; 12.7 m / 42 ft; air; 1; 
 12:20; 11.1 m / 37 ft; air; 1; 
 12:28; 10.7 m / 35 ft; air; 1; 
 12:36; 11.0 m / 36 ft; air; 1; 
 13:12; 7.7 m / 25 ft; air; 1; 
 13:20; 7.1 m / 23 ft; air; 1; 
 13:32; 5.7 m / 19 ft; air; 1; 
 13:36; 6.0 m / 20 ft; air; 1; 
 13:48; 8.4 m / 28 ft; air; 1; 
 13:52; 8.5 m / 28 ft; air; 1; 
 13:56; 8.0 m / 26 ft; air; 1; 
 14:4; 8.4 m / 28 ft; air; 1; 
 14:32; 8.7 m / 29 ft; air; 1; 
 14:44; 8.0 m / 26 ft; air; 1; 
 15:0; 7.5 m / 25 ft; air; 1; 
 15:28; 7.3 m / 24 ft; air; 1; 
 16:4; 6.8 m / 22 ft; air; 1; 
 16:24; 6.7 m / 22 ft; air; 1; 
 16:32; 6.4 m / 21 ft; air; 1; 
 16:36; 6.6 m / 22 ft; air; 1; 
 16:48; 5.8 m / 19 ft; air; 1; 
 16:56; 6.9 m / 23 ft; air; 1; 
 17:4; 7.6 m / 25 ft; air; 1; 
 17:8; 7.7 m / 25 ft; air; 1; 
 17:12; 8.3 m / 27 ft; air; 1; 
 17:44; 7.1 m / 23 ft; air; 1; 
 17:48; 7.1 m / 23 ft; air; 1; 
 17:52; 6.3 m / 21 ft; air; 1; 
 18:8; 6.4 m / 21 ft; air; 1; 
 18:32; 6.4 m / 21 ft; air; 1; 
 18:56; 7.2 m / 24 ft; air; 1; 
 19:16; 7.5 m / 25 ft; air; 1; 
 20:4; 6.4 m / 21 ft; air; 1; 
 20:28; 6.0 m / 20 ft; air; 1; 
 21:4; 6.4 m / 21 ft; air; 1; 
 21:8; 6.2 m / 20 ft; air; 1; 
 21:16; 5.1 m / 17 ft; air; 1; 
 21:32; 4.0 m / 13 ft; air; 1; 
 21:40; 3.7 m / 12 ft; air; 1; 
 21:48; 3.4 m / 11 ft; air; 1; 
 22:4; 4.4 m / 15 ft; air; 1; 
 22:12; 4.4 m / 15 ft; air; 1; 
 22:36; 6.5 m / 21 ft; air; 1; 
 23:0; 6.1 m / 20 ft; air; 1; 
 23:16; 5.2 m / 17 ft; air; 1; 
 23:32; 4.7 m / 16 ft; air; 1; 
 23:56; 4.5 m / 15 ft; air; 1; 
 24:4; 4.2 m / 14 ft; air; 1; 
 24:16; 5.5 m / 18 ft; air; 1; 
 24:24; 5.3 m / 17 ft; air; 1; 
 24:28; 5.1 m / 17 ft; air; 1; 
 24:40; 5.9 m / 19 ft; air; 1; 
 24:56; 5.9 m / 19 ft; air; 1; 
 25:8; 5.1 m / 17 ft; air; 1; 
 25:40; 3.6 m / 12 ft; air; 1; 
 25:52; 3.3 m / 11 ft; air; 1; 
 25:56; 2.8 m / 9 ft; air; 1; 
 26:4; 3.2 m / 11 ft; air; 1; 
 26:16; 2.5 m / 8 ft; air; 1; 
 26:20; 1.8 m / 6 ft; air; 1; slow warning  
 26:24; 0.7 m / 2 ft; air; 1; 
 26:28; 0.4 m / 1 ft; air; 1; 
 26:32; 0.6 m / 2 ft; air; 1; 
 26:36; 2.1 m / 7 ft; air; 1; 
 26:44; 1.6 m / 5 ft; air; 1; 
 27:0; 0.4 m / 1 ft; air; 1; 
 27:4; 0.0 m / 0 ft; air; 1; 
 27:8; 0.0 m / 0 ft; air; 1; 
 31:48; 0.0 m / 0 ft; air; 1; 
 31:50; 0.0 m / 0 ft; air; 1; 

